symbol,timeframe,zone_type,entry_time,strength_remark,status,Diff %
ANGELONE,25,supply,2025-12-30 10:05:00,Strong,"TESTED, NOT BROKEN",0.0
LUPIN,75,supply,2025-12-19 11:45:00,Moderate,"TESTED, NOT BROKEN",0.01
COFORGE,75,supply,2026-01-02 10:30:00,Strong,"TESTED, NOT BROKEN",0.01
COFORGE,25,supply,2026-01-02 09:40:00,Strong,"TESTED, NOT BROKEN",0.01
COFORGE,125,supply,2026-01-02 11:20:00,Strong,"TESTED, NOT BROKEN",0.01
CIPLA,75,supply,2025-12-23 11:45:00,Moderate,"TESTED, NOT BROKEN",0.02
TECHM,25,supply,2026-01-02 14:40:00,Moderate,"TESTED, NOT BROKEN",0.02
HCLTECH,75,supply,2026-01-02 09:15:00,Strong,"TESTED, NOT BROKEN",0.03
GODREJCP,25,supply,2026-01-02 13:25:00,Strong,"TESTED, NOT BROKEN",0.04
CGPOWER,25,supply,2025-12-29 12:35:00,Strong,"TESTED, NOT BROKEN",0.04
CROMPTON,125,supply,2025-12-11 09:15:00,Moderate,"TESTED, NOT BROKEN",0.04
APOLLOTYRE,25,supply,2026-01-01 09:40:00,Strong,"TESTED, NOT BROKEN",0.05
APOLLOTYRE,75,supply,2026-01-01 10:30:00,Strong,"TESTED, NOT BROKEN",0.05
SAIL,25,supply,2026-01-02 13:00:00,Strong,"TESTED, NOT BROKEN",0.07
PFC,25,supply,2026-01-02 13:00:00,Moderate,"TESTED, NOT BROKEN",0.09
NCC,25,supply,2026-01-02 09:40:00,Strong,"TESTED, NOT BROKEN",0.09
ZYDUSLIFE,125,supply,2025-12-17 09:15:00,Moderate,"TESTED, NOT BROKEN",0.09
BHARTIARTL,75,supply,2026-01-02 11:45:00,Moderate,"TESTED, NOT BROKEN",0.09
GODREJPROP,75,supply,2025-12-08 10:30:00,Explosive,"TESTED, NOT BROKEN",0.09
BANDHANBNK,125,supply,2026-01-01 13:25:00,Moderate,"TESTED, NOT BROKEN",0.1
CHENNPETRO,75,demand,2025-12-31 13:00:00,Strong,"TESTED, NOT BROKEN",0.1
