symbol,timeframe,zone_type,entry_time,strength_remark,status,Diff %
HDFCBANK,30,demand,2026-01-02 11:45:00,Moderate,"TESTED, NOT BROKEN",0.01
COFORGE,30,supply,2026-01-02 09:45:00,Strong,"TESTED, NOT BROKEN",0.01
SUNPHARMA,30,supply,2026-01-02 12:15:00,Strong,"TESTED, NOT BROKEN",0.02
SUNPHARMA,15,supply,2026-01-02 12:00:00,Strong,"TESTED, NOT BROKEN",0.02
HCLTECH,30,supply,2026-01-01 15:15:00,Explosive,"TESTED, NOT BROKEN",0.03
TATATECH,30,supply,2025-12-26 14:45:00,Moderate,"TESTED, NOT BROKEN",0.05
APOLLOTYRE,30,supply,2026-01-01 09:45:00,Strong,"TESTED, NOT BROKEN",0.05
DELHIVERY,15,supply,2026-01-02 11:45:00,Strong,"TESTED, NOT BROKEN",0.06
SBILIFE,30,demand,2026-01-02 11:15:00,Strong,"TESTED, NOT BROKEN",0.07
JSWENERGY,15,demand,2026-01-02 11:30:00,Strong,"TESTED, NOT BROKEN",0.08
GRSE,15,supply,2026-01-02 14:30:00,Explosive,"TESTED, NOT BROKEN",0.08
HCLTECH,15,supply,2026-01-01 15:15:00,Strong,"TESTED, NOT BROKEN",0.09
HDFCLIFE,15,demand,2026-01-02 09:45:00,Moderate,UNTESTED,0.09
NCC,15,supply,2026-01-02 09:30:00,Explosive,"TESTED, NOT BROKEN",0.09
BLS,30,supply,2026-01-02 13:45:00,Strong,"TESTED, NOT BROKEN",0.09
MFSL,15,supply,2026-01-02 12:30:00,Moderate,"TESTED, NOT BROKEN",0.09
TIINDIA,15,supply,2026-01-02 10:30:00,Moderate,"TESTED, NOT BROKEN",0.09
BHARTIARTL,30,demand,2025-12-31 14:45:00,Strong,"TESTED, NOT BROKEN",0.1
BANDHANBNK,30,supply,2026-01-02 13:15:00,Strong,UNTESTED,0.1
SHRIRAMFIN,30,demand,2026-01-01 15:15:00,Strong,"TESTED, NOT BROKEN",0.1
POLICYBZR,15,supply,2026-01-02 13:45:00,Explosive,UNTESTED,0.1
KFINTECH,15,supply,2026-01-02 12:30:00,Strong,"TESTED, NOT BROKEN",0.11
KFINTECH,30,supply,2026-01-02 12:45:00,Explosive,"TESTED, NOT BROKEN",0.11
COLPAL,15,supply,2026-01-02 09:30:00,Explosive,"TESTED, NOT BROKEN",0.11
CROMPTON,15,demand,2026-01-02 11:00:00,Strong,"TESTED, NOT BROKEN",0.12
IEX,15,supply,2025-12-31 15:15:00,Strong,"TESTED, NOT BROKEN",0.12
BANDHANBNK,15,supply,2026-01-02 13:15:00,Strong,"TESTED, NOT BROKEN",0.15
POONAWALLA,15,demand,2025-12-30 14:00:00,Moderate,"TESTED, NOT BROKEN",0.17
MFSL,15,supply,2026-01-02 10:45:00,Strong,"TESTED, NOT BROKEN",0.2
BEL,15,supply,2026-01-02 11:45:00,Moderate,UNTESTED,0.2
JSWINFRA,30,supply,2025-12-31 09:45:00,Moderate,"TESTED, NOT BROKEN",0.21
